iE,itp,content
1,1,0.000000000000e+00
1,2,0.000000000000e+00
1,3,0.000000000000e+00
1,4,0.000000000000e+00
1,5,0.000000000000e+00
1,6,0.000000000000e+00
1,7,1.000000000000e+00
1,8,0.000000000000e+00
1,9,1.000000000000e+00
1,10,0.000000000000e+00
1,11,0.000000000000e+00
1,12,1.000000000000e+00
1,13,4.300000000000e+01
1,14,3.490000000000e+02
1,15,8.060000000000e+02
1,16,8.140000000000e+02
1,17,6.000000000000e+02
1,18,4.220000000000e+02
1,19,3.120000000000e+02
1,20,4.190000000000e+02
1,21,7.800000000000e+02
1,22,1.230000000000e+03
1,23,1.661000000000e+03
1,24,1.732000000000e+03
1,25,1.785000000000e+03
1,26,1.597000000000e+03
1,27,1.614000000000e+03
1,28,1.546000000000e+03
1,29,1.555000000000e+03
1,30,1.477000000000e+03
1,31,1.541000000000e+03
1,32,1.524000000000e+03
1,33,1.511000000000e+03
1,34,1.610000000000e+03
1,35,1.565000000000e+03
1,36,1.731000000000e+03
1,37,1.749000000000e+03
1,38,1.724000000000e+03
1,39,1.568000000000e+03
1,40,1.455000000000e+03
1,41,1.073000000000e+03
1,42,6.790000000000e+02
1,43,2.670000000000e+02
1,44,5.700000000000e+01
1,45,5.000000000000e+00
1,46,0.000000000000e+00
1,47,0.000000000000e+00
1,48,0.000000000000e+00
1,49,0.000000000000e+00
1,50,0.000000000000e+00
1,51,0.000000000000e+00
1,52,0.000000000000e+00
1,53,0.000000000000e+00
1,54,0.000000000000e+00
1,55,0.000000000000e+00
1,56,0.000000000000e+00
1,57,0.000000000000e+00
1,58,0.000000000000e+00
1,59,0.000000000000e+00
1,60,0.000000000000e+00
1,61,0.000000000000e+00
1,62,0.000000000000e+00
1,63,0.000000000000e+00
1,64,0.000000000000e+00
1,65,0.000000000000e+00
1,66,0.000000000000e+00
1,67,0.000000000000e+00
1,68,0.000000000000e+00
1,69,0.000000000000e+00
1,70,0.000000000000e+00
1,71,0.000000000000e+00
1,72,0.000000000000e+00
1,73,0.000000000000e+00
1,74,0.000000000000e+00
1,75,0.000000000000e+00
1,76,0.000000000000e+00
1,77,0.000000000000e+00
1,78,0.000000000000e+00
1,79,0.000000000000e+00
1,80,0.000000000000e+00
2,1,0.000000000000e+00
2,2,0.000000000000e+00
2,3,0.000000000000e+00
2,4,0.000000000000e+00
2,5,0.000000000000e+00
2,6,0.000000000000e+00
2,7,1.000000000000e+00
2,8,1.000000000000e+00
2,9,0.000000000000e+00
2,10,1.000000000000e+00
2,11,6.000000000000e+00
2,12,2.320000000000e+02
2,13,8.310000000000e+02
2,14,1.070000000000e+03
2,15,7.550000000000e+02
2,16,5.860000000000e+02
2,17,4.900000000000e+02
2,18,8.520000000000e+02
2,19,1.442000000000e+03
2,20,1.822000000000e+03
2,21,1.854000000000e+03
2,22,1.854000000000e+03
2,23,1.719000000000e+03
2,24,1.732000000000e+03
2,25,1.686000000000e+03
2,26,1.559000000000e+03
2,27,1.569000000000e+03
2,28,1.523000000000e+03
2,29,1.563000000000e+03
2,30,1.551000000000e+03
2,31,1.492000000000e+03
2,32,1.589000000000e+03
2,33,1.550000000000e+03
2,34,1.661000000000e+03
2,35,1.615000000000e+03
